;code_dep;YouTube;Web_Adult;cpc;yt_per_1000;wa_per_1000;cpc_per_1000;geoName;porno mineur;pedoporno;pthc;hurtcore;boylove;porno jeune;jeune porno;ado porno;porno jeune fille;video porno ado;porno jeune ado;pedopornographie;porno enfant;omegle;PC1;PC2;PC3;lin_1;lin_2;lin_3
19;67;1916303328491.0;22654168119.0;170265538.06376022;3481548223.421515;41158191.18777218;309339.1702359488;Alsace;0;29;35;0;0;62;62;61;68;0;0;88;60;78;0.6724597906865962;0.8097823805729004;-0.21400192872141313;0.2966666666666667;345;0.3009090909090909
20;69;4688106377305.0;59036158771.0;675172579.5432458;3109415636.334634;39156098.522066206;447812.4016594974;Rhone-Alpes;69;45;39;42;0;56;56;62;50;56;52;65;62;66;2.5137821565483436;-1.8684400165463575;0.7399466585157534;0.5866666666666667;0.4766666666666667;0.49363636363636365
21;72;513313155685.0;7093192719.0;30829173.030786388;2015941576.0504582;27857190.00341676;121075.82083120168;Pays de la Loire;0;8;38;100;0;70;70;74;67;0;61;50;72;83;1.0835335705634048;0.35389189763813933;-0.7258702882972521;0.26666666666666666;475;0.4572727272727273
22;75;16811611211566.0;137276601845.0;4013467809.694172;7675388748.605117;62674021.66206233;1832360.1040822542;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182
23;77;13580392226.0;237978745.0;256006.9153491233;65622878.55769138;1149955.7614063572;1237.0710975284533;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182
24;78;11385387095.0;132637461.0;3893849.7799352207;49426039.69142877;575803.3835173994;16903.911318048988;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182
25;91;645807913695.0;8898896849.0;97609953.73039094;1271768606.5167003;17524309.326648325;192220.12026394278;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182
26;92;7804553831620.0;95833589912.0;961688720.9983888;4867903451.961868;59773905.49303049;599830.2972418765;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182
27;93;6769646496913.0;92921640550.0;750968132.7746817;4213490406.7525177;57835285.96591687;467409.4909779802;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182
28;94;5804923269819.0;86289711253.0;821295072.3855358;4212109754.1698985;62612668.17133971;595939.8298049603;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182
29;95;498449192626.0;6853926196.0;17567163.836731173;1440367317.0200286;19805772.447891533;50763.78699674093;Île-de-France;71;49;32;59;100;43;43;49;44;44;34;70;49;50;5.269414523602112;-2.958693687995232;1.1239861987115574;0.5633333333333334;535;0.5281818181818182
