cities;code_com;traffic_dir;level_0;index;Web_Adult;Tor;YouTube;c;pop;Tor_to_darknet_share;Pornography_in_darknet_URL_share;Child_pornography_to_pornography_in_darknet_URL_share;cpc;cpc_per_1000;log_cpc;log_cpc_per_1000;yt_per_1000;wa_per_1000;tor_per_1000;log_yt_per_1000;log_wa_per_1000;log_tor_per_1000;sv_19;sv_17_21;sv_com_19;sv_com_17_21
Bordeaux;33067;DL;1370816286;1370816286;3689055.0;42269.0;217498329.0;0.0005988178476270226;2230;11;0.41705436279529645;0.4150197628458498;25.311431601346616;11.350417758451398;3.2312561356340987;1.4489937827955601;97532882.95964125;1654284.7533632286;18954.708520179374;8.60883485457618;6.78066407428572;4.776596069883734;0.781463555819974;0.7813523831204224;;
Bordeaux;33069;DL;1376765644;1376765644;851089233.0;75695251.0;90797498619.0;0.0013321836877530266;23869;11;0.41705436279529645;0.4150197628458498;100839.97862257098;4224.7257372563145;11.521290169308289;0.48268843140928774;3803992568.561733;35656677.40584021;3171278.687837781;1.0570990646413883;0.8614532463731126;0.7600748243312071;0.795311845960653;0.6831329490004325;0.795311845960653;0.723322727292225
Bordeaux;33075;DL;1378278447;1378278447;1624027281.0;65059918.0;112902211803.0;0.0012829808718592647;18037;11;0.41705436279529645;0.4150197628458498;83470.63031873226;4627.744653696971;11.332250116256695;0.6282779905891609;6259478394.577812;90038658.36890835;3607025.4476908576;1.410976764357987;1.175814984597778;0.9974396639481979;1.13384528165748;0.8182534326428439;1.13384528165748;0.9485235333629104
Bordeaux;33080;DL;1375043625;1375043625;14428606.0;406199.0;962098041.0;0.0008600644918932833;5978;11;0.41705436279529645;0.4150197628458498;349.3573365425598;58.440504607320136;5.856095285329146;0.9796077760671036;160939786.04884577;2413617.597858816;67948.97959183673;3.460124944322272;2.7575649584789153;2.160354377096677;0.781463555819974;0.7813523831204224;;
Bordeaux;33085;DL;1371528940;1371528940;2666889.0;54744.0;156264698.0;0.000732624027794555;2872;11;0.41705436279529645;0.4150197628458498;40.10676977758512;13.964752708072814;3.6915451424472976;1.285356943749059;54409713.788300835;928582.5208913649;19061.281337047356;6.569311249776025;5.151957932625522;3.798893820554434;0.781463555819974;0.7813523831204224;;
Bordeaux;33090;DL;1369426812;1369426812;6484487.0;491288.0;279999690.0;0.0007844266677870843;5520;11;0.41705436279529645;0.4150197628458498;385.37940876378104;69.81511028329366;5.954228326332329;1.0786645518717988;50724581.521739125;1174725.9057971013;89001.44927536232;3.523604901085155;2.841471606336104;2.3740553972578864;0.781463555819974;0.7813523831204224;;
Bordeaux;33096;DL;1376130453;1376130453;313762829.0;15152380.0;15185851676.0;0.0010171301851936677;8112;11;0.41705436279529645;0.4150197628458498;15411.943075524827;1899.8943633536524;9.6428980122228;1.1887201691596152;1872023135.6015778;38678849.72879684;1867896.942800789;2.8899938388234463;2.4117539369843874;2.0381740844786718;0.781463555819974;0.7813523831204224;;
Bordeaux;33099;DL;1375278325;1375278325;2638341.0;107170.0;132257021.0;0.0008040930859038943;3820;11;0.41705436279529645;0.4150197628458498;86.17465601632036;22.558810475476534;4.456376120707354;1.166590607515014;34622256.80628272;690665.1832460733;28054.973821989526;4.895355423073403;3.870591850392628;3.0319821041117914;0.781463555819974;0.7813523831204224;;
Bordeaux;33119;DL;1379244114;1379244114;1993376913.0;23348367.0;64228554085.0;0.001554664316299193;24369;11;0.41705436279529645;0.4150197628458498;36298.873018757644;1489.5511928580427;10.499541973455779;0.43085649692050465;2635666382.90451;81799700.97254708;958117.5674012065;1.0212037308236543;0.8787022848172221;0.6962139441041236;0.94132412927518;1.0206286133681801;0.94132412927518;1.0206286133681801
Bordeaux;33122;DL;1368082821;1368082821;704011.0;61792.0;40589255.0;0.00037566043657185185;16781;11;0.41705436279529645;0.4150197628458498;23.21280969664787;1.3832792858976146;3.1447042683947934;0.18739671464124863;2418762.5886419164;41952.86335736845;3682.259698468506;1.0439791391676412;0.8023687062760331;0.6573821098401907;0.469125667038058;0.424576610264163;0.469125667038058;0.424576610264163
