code_com,adult_entertainment,amateur_sports_team,church_cathedral,mosque,religious_organization,school
63071,0.0,0.0,0.0,0.0,0.0,0.0
63075,0.0,0.057863673185973845,0.17359101955792153,0.0,0.057863673185973845,0.057863673185973845
63083,0.0,0.0,0.0,0.0,0.0,0.0
63084,0.0,0.0,0.0,0.0,0.0,0.0
63099,0.0,0.0,0.0,0.0,0.0,0.0
63113,0.0,0.04905877240934639,0.1471763172280392,0.035041980292390286,0.06307556452630252,0.2593106541636881
63124,0.0,0.09937394415184339,0.0,0.0,0.049686972075921695,0.19874788830368678
63141,0.0,0.0,0.0,0.0,0.0,0.0
63164,0.0,0.09493070058857034,0.0,0.0,0.0,0.284792101765711
63193,0.0,0.0,0.0,0.0,0.0,0.12039489525644112
63200,0.0,0.0,0.0,0.0,0.0,0.0
63203,0.0,0.0,0.0,0.0,0.0,0.0
63204,0.0,0.0,0.0,0.0,0.0,0.0
63212,0.0,0.0,0.0,0.0,0.0,0.0
63213,0.0,0.0,0.0,0.0,0.0,0.0
63214,0.0,0.0,0.0,0.0,0.0,0.0
63224,0.0,0.0,0.0,0.0,0.0,0.0
63226,0.0,0.0,0.0,0.0,0.0,0.0
63248,0.0,0.0,0.0,0.0,0.0,0.0
63254,0.0,0.0,0.0,0.0,0.0,0.0
63262,0.0,0.0,0.0,0.0,0.0,0.0
63263,0.0,0.29726516052318663,0.0,0.0,0.0,0.0
63272,0.0,0.37383177570093457,0.0,0.0,0.0,0.0
63273,0.0,0.0,0.0,0.0,0.0,0.0
63284,0.0,0.0,0.08935751943526048,0.0,0.0,0.08935751943526048
63302,0.0,0.0,0.0,0.0,0.0,0.0
63306,0.0,0.0,0.0,0.0,0.0,0.0
63307,0.0,0.13099292638197538,0.0,0.0,0.0,0.13099292638197538
63308,0.0,0.0,0.20842017507294708,0.0,0.20842017507294708,0.0
63322,0.0,0.0,0.0,0.0,0.0,0.0
63345,0.0,0.0,0.0,0.0,0.0,0.0
63381,0.0,0.0,0.0,0.0,0.0,0.0
63396,0.0,0.0,0.0,0.0,0.0,0.0
63417,0.0,0.0,0.0,0.0,0.0,0.0
21003,0.0,0.0,0.0,0.0,0.0,0.0
21021,0.0,0.0,0.0,0.0,0.0,0.0
21027,0.0,0.0,0.0,0.0,0.0,0.0
21059,0.0,0.0,0.0,0.0,0.0,0.0
21105,0.0,0.0,0.0,0.0,0.0,0.0
21106,0.0,0.0,0.0,0.0,0.0,0.0
21126,0.0,0.0,0.0,0.0,0.0,0.0
21166,0.0,0.07245326764237067,0.14490653528474134,0.07245326764237067,0.14490653528474134,0.14490653528474134
21171,0.0,0.0,0.0,0.0,0.0,0.17397355601948505
21178,0.0,0.0,0.0,0.0,0.0,0.0
21192,0.0,0.0,0.0,0.0,0.0,0.0
21200,0.0,0.0,0.0,0.0,0.0,0.0
21209,0.0,0.0,0.0,0.0,0.0,0.0
21213,0.0,0.0,0.0,0.0,0.0,0.0
21223,0.0,0.0,0.6949270326615705,0.0,0.0,0.0
21227,0.0,0.0,0.0,0.0,0.0,0.0
21231,0.012895737958604681,0.025791475917209362,0.14830098652395385,0.019343606937907022,0.1289573795860468,0.2514668901927913
21255,0.0,0.0,0.0,0.0,0.0,0.0
21261,0.0,0.0,0.0,0.0,0.0,0.0
21263,0.0,0.6277463904582549,0.6277463904582549,0.0,0.0,0.0
21270,0.0,0.0,0.0,0.0,0.0,0.0
21278,0.0,0.2237637055269635,0.11188185276348175,0.0,0.0,0.11188185276348175
21295,0.0,0.0,0.0,0.0,0.0,0.0
21315,0.0,0.0,0.0,0.0,0.0,0.0
21320,0.0,0.0,0.0,0.0,0.0,0.0
21339,0.0,0.0,0.0,0.0,0.0,0.0
21355,0.0,0.11372682815876266,0.11372682815876266,0.0,0.0,0.22745365631752532
21370,0.0,0.0,0.0,0.0,0.0,0.0
21390,0.0,0.18635855385762207,0.0,0.0,0.0,0.5590756615728661
21408,0.0,0.0,0.0,0.0,0.0,0.0
21452,0.0,0.0,0.0,0.0,0.0,0.0
21473,0.0,0.0,0.0,0.0,0.0,0.0
21481,0.0,0.0,0.0,0.0,0.0,0.0
21485,0.0,0.0,0.3838771593090211,0.0,0.0,0.3838771593090211
