Day,Hour,Tor_scaled,Web_Adult,YouTube
Tuesday,18,805936.2747358929,6682150712.665,726771596229.0
Tuesday,19,733051.956733375,5413827991.086,697192249195.0
Tuesday,20,714896.4028008017,4564602968.254,662396027470.0
Tuesday,21,1097745.745475583,6019199223.917,661465531945.0
Tuesday,22,1283455.6987771974,9747338616.576,672841413831.0
Tuesday,23,687462.6959240397,12865716201.58,593809487108.0
Wednesday,0,530611.7079830029,10732429911.27,415004651400.0
Wednesday,1,699196.1922322793,6831022978.733,283063559142.0
Wednesday,2,665434.7846135149,4022367988.677,183475556334.0
Wednesday,3,219588.59211228936,2295468337.844,127555734998.002
Wednesday,4,165753.81994712676,1800552255.945,99774294341.004
Wednesday,5,320440.71387101634,2219720195.855,93436628875.003
Wednesday,6,244691.49562635235,4681966130.508,146714621688.0
Wednesday,7,209346.43451459246,6824698004.766,341437262381.0
Wednesday,8,322349.48449796735,6953599810.731,501043197599.0
Wednesday,9,416854.02104117436,6212921115.726,473364724940.0
Wednesday,10,671301.1752418204,5816936829.008,472366240922.0
Wednesday,11,663699.0707581739,5773945285.887,518456801739.0
Wednesday,12,637860.718379585,5164500603.032,594202530102.0
Wednesday,13,757073.0718798891,6883917428.661,638877417075.0
Wednesday,14,523747.8046920536,7941838869.711,593165018591.0
Wednesday,15,580759.7998169066,6837604617.838,597371322370.0
Wednesday,16,707270.2628059278,6526839178.726,622724418047.0
Wednesday,17,890723.4649585173,6322495411.812,682150334026.0
Wednesday,18,1120568.1184056676,6151164169.779,734169001308.0
Wednesday,19,933678.2789586438,5237043915.198,714171192911.0
Wednesday,20,672420.7493620988,4654449048.307,680661195297.0
Wednesday,21,763682.0408837983,5864391682.914,673788894859.0
Wednesday,22,731384.5062621533,9809524824.485,692536424413.0
Wednesday,23,359376.80728902057,11761375432.369,625964247929.0
